date,ticker,close
2021-07-16,XLRE,39.72
2021-07-16,XLB,37.02
2021-07-16,XLC,77.25
2021-07-16,SPY,404.18
2021-07-19,XLK,71.56
2021-07-19,XLF,32.47
2021-07-19,XLV,118.37
2021-07-19,XLY,84.77
2021-07-19,XLP,62.85
2021-07-19,XLI,93.01
2021-07-19,XLE,19.84
2021-07-19,XLU,28.43
2021-07-19,XLRE,39.1
2021-07-19,XLB,36.23
2021-07-19,XLC,76.08
2021-07-19,SPY,398.21
2021-07-20,XLK,72.62
2021-07-20,XLF,33.28
2021-07-20,XLV,119.81
2021-07-20,XLY,86.34
2021-07-20,XLP,62.87
2021-07-20,XLI,95.61
2021-07-20,XLE,20.11
2021-07-20,XLU,28.55
2021-07-20,XLRE,39.8
2021-07-20,XLB,36.64
2021-07-20,XLC,76.94
2021-07-20,SPY,403.92
2021-07-21,XLK,73.32
2021-07-21,XLF,33.85
2021-07-21,XLV,120.0
2021-07-21,XLY,87.13
2021-07-21,XLP,62.71
2021-07-21,XLI,96.52
2021-07-21,XLE,20.81
2021-07-21,XLU,28.24
2021-07-21,XLRE,39.68
2021-07-21,XLB,37.04
2021-07-21,XLC,77.58
2021-07-21,SPY,407.19
2021-07-22,XLK,73.86
2021-07-22,XLF,33.48
2021-07-22,XLV,120.89
2021-07-22,XLY,87.51
2021-07-22,XLP,62.6
2021-07-22,XLI,96.17
2021-07-22,XLE,20.58
2021-07-22,XLU,28.28
2021-07-22,XLRE,39.4
2021-07-22,XLB,37.05
2021-07-22,XLC,77.84
2021-07-22,SPY,408.04
2021-07-23,XLK,74.6
2021-07-23,XLF,33.54
2021-07-23,XLV,122.28
2021-07-23,XLY,88.29
2021-07-23,XLP,63.36
2021-07-23,XLI,96.58
2021-07-23,XLE,20.5
2021-07-23,XLU,28.64
2021-07-23,XLRE,39.76
2021-07-23,XLB,37.31
2021-07-23,XLC,79.77
2021-07-23,SPY,412.24
2021-07-26,XLK,74.56
2021-07-26,XLF,33.73
2021-07-26,XLV,121.49
2021-07-26,XLY,88.95
2021-07-26,XLP,63.46
2021-07-26,XLI,96.53
2021-07-26,XLE,21.01
